職種区分,項目ID,評価項目名,重要度ウェイト
事務,office_01,業務指示を正確に理解し、疑問点は確認しながら、確実に業務を遂行している。,1
事務,office_02,伝票処理、データ入力、書類作成において、誤りなく正確に処理・作成している。,1
事務,office_03,業務の優先順位を判断し、定められた納期を遵守し、効率的に業務を進めている。,1
事務,office_04,既存のマニュアルを理解し活用するとともに、改善点があれば提案している。,1
事務,office_05,経理・会計業務において、関係法令や施設規定に基づき適正な処理を行っている。,1
事務,office_06,必要な情報を正確かつ効率的に収集・整理し、活用しやすい状態にしている。,1
事務,office_07,利用者・職員の個人情報や施設の機密情報について、厳重な管理と保護を徹底している。,1
事務,office_08,書類やデータのファイリング、バックアップなど、適切な方法で管理・保管している。,1
事務,office_09,"PCスキル（Word, Excel等）や業務システムを習熟し、業務効率化に貢献している。",1
事務,office_10,業務の進捗、課題、緊急事態などを、適切なタイミングで上司や関係部署に報告・連絡・相談している。,1
事務,office_11,来客や電話に対し、丁寧で分かりやすい言葉遣いと態度で対応し、適切な案内や取り次ぎを行っている。,1
事務,office_12,他部署からの依頼や問い合わせに対し、迅速かつ的確に対応し、円滑な連携を図っている。,1
事務,office_13,業者、行政、金融機関など外部関係者と良好な関係を築き、必要な調整を適切に行っている。,1
事務,office_14,業務上の非効率な点や改善できる機会を自ら発見し、課題として認識している。,1
事務,office_15,発見した課題に対し、具体的な改善策を検討・提案し、実行に協力している。,1
事務,office_16,自身の業務ミスや課題に対し、原因を分析し、再発防止策を考え、次へと活かしている。,1
事務,office_17,業務の依頼者（職員、利用者、外部関係者）のニーズを理解し、期待に応えようと努めている。,1
事務,office_18,事務業務が、利用者支援や施設運営にどのように貢献するかを理解し、サポート意識を持って業務に取り組んでいる。,1
事務,office_19,自身の業務計画を立て、進捗を管理し、目標達成に向けて主体的に取り組んでいる。,1
事務,office_20,自身の心身の健康状態を適切に管理し、ストレスをコントロールしながら業務を遂行している。,1
医務,medical_01,利用者の身体的・精神的健康状態を多角的に観察・アセスメントし、問題点を的確に把握している。,1
医務,medical_02,医師の指示に基づき、安全かつ正確に医療処置を行い、根拠に基づいたケアを提供している。,1
医務,medical_03,薬の管理（保管、配薬、残薬確認）を厳密に行い、利用者への適切な服薬指導も行っている。,1
医務,medical_04,利用者の状態変化や医療処置を正確かつ迅速に記録し、関係者と適切に情報共有している。,1
医務,medical_05,標準予防策を遵守し、感染症予防のための衛生管理を徹底している。,1
医務,medical_06,利用者の急変や事故等の異常を早期に察知し、冷静かつ迅速に初期対応を行っている。,1
医務,medical_07,状況を総合的に判断し、必要に応じて医師や上長へ的確に報告・相談している。,1
医務,medical_08,医療行為や日常生活におけるリスクを事前に評価し、事故防止のための具体的な対策を講じている。,1
医務,medical_09,医療機器・設備の点検・管理を適切に行い、安全に使用できる状態を維持している。,1
医務,medical_10,災害や大規模な緊急事態発生時の役割を理解し、冷静かつ的確に行動できる。,1
医務,medical_11,利用者や家族に対し、分かりやすい言葉で健康状態やケア内容を説明し、質問や不安に寄り添い傾聴している。,1
医務,medical_12,医師、他職種（介護職員、理学療法士等）と円滑に連携し、情報共有や連携を通して質の高いチームケアに貢献している。,1
医務,medical_13,協力医療機関や専門機関と良好な関係を構築し、適切な連携を図っている。,1
医務,medical_14,看護に関する最新の知識・技術を継続的に学習し、日々の業務に反映させている。,1
医務,medical_15,看護師としての資格を維持し、研修や学会等に積極的に参加して自己のスキルアップに努めている。,1
医務,medical_16,利用者の人権、プライバシー、自己決定権を尊重し、倫理的な判断に基づいた看護を提供している。,1
医務,medical_17,医療法、保健師助産師看護師法など関係法令や施設の規定を遵守し、適切に業務を遂行している。,1
医務,medical_18,介護職員等に対し、医療的ケアや健康管理に関する適切な指導・助言を行い、知識共有に貢献している。,1
医務,medical_19,看護チームの一員として、積極的かつ協力的な態度で業務に取り組み、チームの円滑な運営に貢献している。,1
幹部,admin_01,法人・施設のビジョンを明確に示し、部下やチームに浸透させ、具体的な目標設定に落とし込んでいる。,1
幹部,admin_02,施設全体の業務フローを把握し、効率化・最適化に向けた改善を継続的に推進している。,1
幹部,admin_03,人員、予算、設備等の経営資源を適切に配分・管理し、最大限の成果を引き出している。,1
幹部,admin_04,事故・災害等のリスクを予測し、予防策を講じ、発生時には迅速かつ適切に指揮・対応している。,1
幹部,admin_05,部下の強みと課題を見極め、適切な指導・育成計画を立て、個々の成長を最大限に引き出している。,1
幹部,admin_06,チーム内のコミュニケーションを促進し、協力体制を構築することで、組織全体のパフォーマンス向上に貢献している。,1
幹部,admin_07,部下の意欲を高め、主体性を引き出すための声がけや環境づくりを積極的に行っている。,1
幹部,admin_08,部下の公正な評価と建設的なフィードバックを定期的に行い、能力開発に繋げている。,1
